Material,C,Mn,P,S,Si,Ni,Cr,Mo,Fe
Steel SAE 1080,0.788511,0.774657,0.003335,0.034386,0,0,0,0,98.399111
Steel SAE 1080,0.837488,0.626919,0.027543,0.03728,0,0,0,0,98.47077
Steel SAE 1080,0.813093,0.667936,0.025825,0.034718,0,0,0,0,98.458427
Steel SAE 1080,0.842986,0.828121,0.02111,0.019775,0,0,0,0,98.288008
Steel SAE 1095,1.00296,0.358213,0.00746,0.043936,0,0,0,0,98.587431
Steel SAE 1095,0.906168,0.32379,0.010643,0.046901,0,0,0,0,98.712498
Steel SAE 1095,0.965066,0.448501,0.014764,0.011866,0,0,0,0,98.559803
Steel SAE 1095,0.990017,0.346335,0.006998,0.00339,0,0,0,0,98.65326
Steel SAE 1117,0.170548,1.138892,0.04,0.115059,0,0,0,0,98.535501
Steel SAE 1117,0.196291,1.148411,0.04,0.119819,0,0,0,0,98.49548
Steel SAE 1117,0.153254,1.255193,0.04,0.111707,0,0,0,0,98.439846
Steel SAE 1118,0.1794,1.57947,0.0041,0.086997,0,0,0,0,98.150033
Steel SAE 1118,0.198723,1.308076,0.035917,0.087986,0,0,0,0,98.369299
Steel SAE 1118,0.17838,1.542697,0.009587,0.109538,0,0,0,0,98.159798
Steel SAE 1137,0.360471,1.555581,0.016655,0.090844,0,0,0,0,97.97645
Steel SAE 1137,0.360469,1.419035,0.006321,0.109616,0,0,0,0,98.104559
Steel SAE 1137,0.365743,1.613171,0.009822,0.087725,0,0,0,0,97.923538
Steel SAE 1137,0.3542,1.547139,0.037697,0.118572,0,0,0,0,97.942392
Steel SAE 1141,0.375736,1.51878,0.04,0.11775,0,0,0,0,97.947734
Steel SAE 1141,0.400416,1.448449,0.04,0.098759,0,0,0,0,98.012376
Steel SAE 1141,0.443869,1.458509,0.04,0.092926,0,0,0,0,97.964696
Steel SAE 1141,0.418431,1.359449,0.04,0.119443,0,0,0,0,98.062677
Steel SAE 1144,0.411853,1.370233,0.04,0.315101,0,0,0,0,97.862814
Steel SAE 1144,0.450605,1.473122,0.04,0.255696,0,0,0,0,97.780577
Steel SAE 1144,0.416549,1.392128,0.04,0.278838,0,0,0,0,97.872485
Steel SAE 1144,0.452628,1.499874,0.04,0.269213,0,0,0,0,97.738285
Steel SAE 1340,0.424789,1.628308,0.003915,0.007604,0.19693,0,0,0,97.738454
Steel SAE 1340,0.420073,1.830835,0.032076,0.009834,0.207115,0,0,0,97.500067
Steel SAE 1340,0.396626,1.600531,0.019883,0.026435,0.199533,0,0,0,97.756992
Steel SAE 3140,0.421034,0.876092,0.04,0.009709,0.237302,1.195949,0.686117,0,96.533797
Steel SAE 3140,0.385961,0.869089,0.04,0.001287,0.185548,1.25369,0.578887,0,96.685537
Steel SAE 4037,0.372467,0.83983,0.035,0.04,0.339298,0,0,0.229702,98.143704
Steel SAE 4042,0.439492,0.747058,0.035,0.04,0.243697,0,0,0.223944,98.27081
Steel SAE 4130,0.316898,0.4242,0.035,0.04,0.239374,0,0.911459,0.205046,97.828023
Steel SAE 4130,0.321572,0.444687,0.035,0.04,0.235677,0,1.028176,0.171638,97.72325
Steel SAE 4130,0.310174,0.437717,0.035,0.04,0.190602,0,1.072807,0.232447,97.681254
Steel SAE 4140,0.429041,0.977081,0.017617,0.037155,0.175862,0,0.971476,0.240856,97.150911
Steel SAE 4140,0.419417,0.8202,0.006674,0.013876,0.244142,0,1.03429,0.174892,97.286508
Steel SAE 4140,0.384145,0.851855,0.021907,0.018862,0.156659,0,0.805478,0.168872,97.592221
Steel SAE 4150,0.525389,0.886855,0.004725,0.039098,0.275487,0,0.976664,0.161771,97.130011
Steel SAE 4150,0.491509,0.750774,0.012894,0.008359,0.188474,0,0.848551,0.234334,97.465105
Steel SAE 4150,0.497866,0.948931,0.029542,0.035219,0.204929,0,1.042124,0.15488,97.086508
Steel SAE 4320,0.205328,0.576096,0.015503,0.011352,0.188381,1.77847,0.4548,0.262564,96.507506
Steel SAE 4320,0.21287,0.537376,0.023418,0.026537,0.154307,1.826021,0.565767,0.219751,96.433955
Steel SAE 4340,0.407454,0.769258,0.035,0.04,0.234416,1.706669,0.838454,0.249281,95.719469
Steel SAE 4340,0.411424,0.653662,0.035,0.04,0.194128,1.744324,0.894774,0.294845,95.731843
Steel SAE 4340,0.418123,0.662014,0.035,0.04,0.161211,1.664154,0.716722,0.244059,96.058716
Steel SAE 4620,0.190555,0.596937,0.035,0.04,0.348439,1.715068,0,0.227755,96.846247
Steel SAE 4620,0.196537,0.632234,0.035,0.04,0.219095,1.739202,0,0.296548,96.841384
Steel SAE 4820,0.198764,0.51644,0.014181,0.015161,0.241013,3.593516,0,0.228854,95.192071
Steel SAE 4820,0.180579,0.537127,0.026849,0.004372,0.256969,3.369235,0,0.245529,95.379339
Steel SAE 5046,0.476037,0.817886,0.028353,0.002899,0.28464,0,0.323008,0,98.067178
Steel SAE 5130,0.29552,0.834297,0.035,0.04,0.169395,0,0.806213,0,97.819575
Steel SAE 5140,0.381889,0.836856,0.011014,0.0252,0.227883,0,0.819306,0,97.697852
Steel SAE 5140,0.382509,0.709958,0.02936,0.035957,0.286244,0,0.708323,0,97.84765
Steel SAE 5140,0.39261,0.790487,0.007497,0.023008,0.270444,0,0.795388,0,97.720566
Steel SAE 5150,0.52984,0.865641,0.022135,0.011261,0.211381,0,0.749713,0,97.61003
Steel SAE 5150,0.520291,0.86932,0.024273,0.016865,0.150537,0,0.74212,0,97.676593
Steel SAE 5150,0.502352,0.73295,0.034722,0.000734,0.237018,0,0.718923,0,97.773302
Steel SAE 5160,0.562778,0.843516,0.000822,0.02586,0.250356,0,0.850336,0,97.466332
Steel SAE 5160,0.562953,0.915785,0.025008,0.031783,0.176069,0,0.749458,0,97.538944
Steel SAE 5160,0.562772,0.797744,0.003686,0.018568,0.160743,0,0.85671,0,97.599777
Steel SAE 6150,0.521509,0.706636,0.00948,0.019436,0.281656,0,0.958129,0.269949,97.233205
Steel SAE 6150,0.52818,0.820766,0.010676,0.01916,0.20543,0,1.080369,0.35678,96.978639
Steel SAE 6150,0.511248,0.727007,0.021745,0.032955,0.26022,0,0.843356,0.152103,97.451366
Steel SAE 8620,0.180049,0.882198,0.014118,0.016641,0.211119,0.491152,0.412185,0.160341,97.632196
Steel SAE 8620,0.208737,0.801651,0.022876,0.039872,0.209331,0.567918,0.426162,0.223517,97.499935
Steel SAE 8630,0.301756,0.837276,0.016944,0.025742,0.177455,0.671658,0.58302,0.228437,97.157712
Steel SAE 8630,0.305481,0.745755,0.010649,0.031714,0.299008,0.556908,0.573168,0.239019,97.238297
Steel SAE 8630,0.287162,0.862185,0.025863,0.034855,0.229473,0.41041,0.494106,0.211231,97.444715
Steel SAE 8640,0.400902,0.922902,0.00298,0.020635,0.203031,0.591629,0.501412,0.229179,97.127329
Steel SAE 8650,0.524977,0.933021,0.00228,0.014233,0.277406,0.589147,0.577438,0.233087,96.848412
Steel SAE 8650,0.499918,0.988057,0.018612,0.011309,0.17431,0.699979,0.404777,0.163077,97.039962
Steel SAE 8650,0.504293,0.875329,0.013017,0.017012,0.182338,0.508669,0.419045,0.249156,97.23114
Steel SAE 8660,0.64374,0.972194,0.013818,0.038936,0.254523,0.607682,0.676918,0.136119,96.65607
Steel SAE 8740,0.400723,0.963964,0.01277,0.04,0.315985,0.690148,0.523769,0.217273,96.835368
Steel SAE 8740,0.388118,0.985872,0.01259,0.04,0.486148,0.490072,0.437032,0.257478,96.902691
Steel SAE 8740,0.402756,0.800916,0.026637,0.04,0.3687,0.409938,0.470699,0.20335,97.277004
Steel SAE 9255,0.599373,0.87638,0.015409,0.015014,2.087917,0,0,0,96.405906
Steel SAE 9255,0.565176,0.787088,0.028902,0.001368,2.073473,0,0,0,96.543993
Steel SAE 9255,0.561747,0.776331,0.033027,0.034406,2.104238,0,0,0,96.490252
Steel SAE 9260,0.63942,0.97945,0.018271,0.013385,2.145253,0,0.35,0,95.854221
Steel SAE 9310,0.101014,0.677541,0.003432,0.006676,0.189739,3.389089,1.369739,0.090265,94.172506
Steel SAE 9310,0.113871,0.493555,0.003114,0.00559,0.298196,3.040705,1.052878,0.08255,94.909541
Steel 08 GOST 1050-88,0.43413,0.492291,0.034945,0.014095,0.636534,0,0.036728,0,98.351276
Steel 10 GOST 1050-88,0.242206,0.372234,0.009371,0.00445,0.251641,0,0.138403,0,98.981694
Steel 10 GOST 1050-88,0.598109,0.613996,0.002154,0.022764,0.237858,0,0.06951,0,98.45561
Steel 10 GOST 1050-88,0.318752,0.477416,0.020733,0.035869,0.209495,0,0.020279,0,98.917456
Steel 10 GOST 1050-88,0.454812,0.615745,0.008368,0.019592,0.258323,0,0.042492,0,98.600669
Steel 15 GOST 1050-88,0.184995,0.434541,0.027297,0.025753,0.083034,0,0.077844,0,99.166536
Steel 15 GOST 1050-88,0.14653,0.511587,0.028635,0.045737,0.03543,0,0.044668,0,99.187413
Steel 15 GOST 1050-88,0.170401,0.381674,0.020104,0.012015,0.018449,0,0.017037,0,99.380319
Steel 15 GOST 1050-88,0.144814,0.484483,0.000458,0.005863,0.150017,0,0.090132,0,99.124232
Steel 20 GOST 1050-88,0.184114,0.643862,0.007274,0.022057,0.223834,0,0.129335,0,98.789524
Steel 20 GOST 1050-88,0.203424,0.59566,0.016583,0.001442,0.297716,0,0.1044,0,98.780775
Steel 20 GOST 1050-88,0.21807,0.578182,0.02825,0.020228,0.182563,0,0.197053,0,98.775654
Steel 20 GOST 1050-88,0.233684,0.389368,0.004462,0.021099,0.213727,0,0.06884,0,99.068819
Steel 25 GOST 1050-88,0.294246,0.604964,0.035794,0.034392,0.308326,0,0.002163,0,98.720116
Steel 25 GOST 1050-88,0.29513,0.768749,0.019574,0.01811,0.226486,0,0.071108,0,98.600843
Steel 25 GOST 1050-88,0.223697,0.513113,0.018904,0.014148,0.220536,0,0.196978,0,98.812625
Steel 25 GOST 1050-88,0.221808,0.782829,0.024661,0.040637,0.317248,0,0.196145,0,98.41667
Steel 30 GOST 1050-88,0.299514,0.636295,0.010231,0.017075,0.30774,0,0.224587,0,98.504557
Steel 30 GOST 1050-88,0.329797,0.729513,0.030554,0.025043,0.342336,0,0.127939,0,98.414818
Steel 30 GOST 1050-88,0.337772,0.767613,0.012162,0.022286,0.317427,0,0.20522,0,98.33752
Steel 30 GOST 1050-88,0.286029,0.727713,0.011175,0.033313,0.295951,0,0.078264,0,98.567555
Steel 30 GOST 1050-88,0.308249,0.767972,0.026685,0.004957,0.362693,0,0.020471,0,98.508973
Steel 35 GOST 1050-88,0.345408,0.696128,0.002697,0.04772,0.18461,0.238972,0.096494,0,98.387972
Steel 35 GOST 1050-88,0.341775,0.783762,0.019037,0.013015,0.194228,0.190243,0.136821,0,98.32112
Steel 35 GOST 1050-88,0.355592,0.642728,0.037345,0.036988,0.327321,0.147378,0.179987,0,98.272661
Steel 35 GOST 1050-88,0.323011,0.522252,0.017547,0.049906,0.312721,0.06129,0.216431,0,98.496842
Steel 35 GOST 1050-88,0.339034,0.503054,0.005272,0.038302,0.322655,0.152676,0.00425,0,98.634758
Steel 35 GOST 1050-88,0.331966,0.51047,0.002432,0.010286,0.245942,0.204454,0.158573,0,98.535877
Steel 40 GOST 1050-88,0.42538,0.733476,0.037247,0.047861,0.347857,0,0.063811,0,98.344368
Steel 40 GOST 1050-88,0.433064,0.512355,0.026107,0.004069,0.358443,0,0.093922,0,98.57204
Steel 40 GOST 1050-88,0.383284,0.731099,0.008906,0.016117,0.345973,0,0.016896,0,98.497726
Steel 40 GOST 1050-88,0.445127,0.611002,0.038512,0.034408,0.272688,0,0.149676,0,98.448588
Steel 40 GOST 1050-88,0.407251,0.545297,0.03291,0.00286,0.287481,0,0.025635,0,98.698565
Steel 40 GOST 1050-88,0.404671,0.70139,0.025051,0.014582,0.294373,0,0.104692,0,98.45524
Steel 45 GOST 1050-88,0.425395,0.655834,0.000106,0.004694,0.191271,0,0.051889,0,98.67081
Steel 45 GOST 1050-88,0.437607,0.736389,0.029931,0.015967,0.211514,0,0.227912,0,98.34068
Steel 45 GOST 1050-88,0.438162,0.646667,0.035388,0.041277,0.335812,0,0.162805,0,98.339889
Steel 45 GOST 1050-88,0.467213,0.539483,0.005511,0.000814,0.20609,0,0.217803,0,98.563086
Steel 45 GOST 1050-88,0.472599,0.547388,0.001053,0.014612,0.26691,0,0.109411,0,98.588028
Steel 45 GOST 1050-88,0.452959,0.728133,0.019345,0.016877,0.349517,0,0.022303,0,98.410865
Steel 45 GOST 1050-88,0.473323,0.797237,0.005587,0.004184,0.287906,0,0.122972,0,98.308793
Steel 45 GOST 1050-88,0.474676,0.707065,0.034958,0.035301,0.354129,0,0.020301,0,98.37357
Steel 45 GOST 1050-88,0.431468,0.582975,0.035687,0.015173,0.30609,0,0.127122,0,98.501484
Steel 50 GOST 1050-88,0.492376,0.574642,0.035021,0.008869,0.24203,0,0.171581,0,98.475481
Steel 50 GOST 1050-88,0.506881,0.679108,0.024354,0.044064,0.363757,0,0.022769,0,98.359066
Steel 50 GOST 1050-88,0.523343,0.515563,0.004579,0.002295,0.174708,0,0.214447,0,98.565065
Steel 50 GOST 1050-88,0.482273,0.603813,0.007342,0.016172,0.248896,0,0.176336,0,98.465167
Steel 50 GOST 1050-88,0.517852,0.796063,0.035949,0.021257,0.30586,0,0.078433,0,98.244586
Steel 55 GOST 1050-88,0.593097,0.528785,0.013122,0.003936,0.365558,0,0.083589,0,98.411913
Steel 55 GOST 1050-88,0.569709,0.685035,0.018631,0.026528,0.329454,0,0.038208,0,98.332435
Steel 60 GOST 1050-88,0.632808,0.645709,0.014551,0.048374,0.242733,0,0.066363,0,98.349461
Steel 60 GOST 1050-88,0.570052,0.644863,0.000795,0.013194,0.283681,0,0.196203,0,98.291212
Steel 20G GOST 1050-88,0.21084,0.491856,0.020964,0.001183,0.201225,0,0.007784,0,99.066148
Steel 20G GOST 1050-88,0.177814,0.565021,0.030215,0.017513,0.211785,0,0.175859,0,98.821793
Steel 30G GOST 1050-88,0.368549,0.57427,0.000039,0.037169,0.19005,0,0,0,98.829923
Steel 30G GOST 1050-88,0.371578,0.633065,0.016873,0.024451,0.351283,0,0,0,98.60275
Steel 40G GOST 1050-88,0.399302,0.668459,0.023509,0.005851,0.176314,0,0,0,98.726566
Steel 40G GOST 1050-88,0.398924,0.606223,0.010743,0.015581,0.275116,0,0,0,98.693414
Steel 50G GOST 1050-88,0.535091,0.53237,0.007105,0.032327,0.230712,0,0.115158,0,98.547238
Steel 50G GOST 1050-88,0.533997,0.537066,0.007153,0.008901,0.264628,0,0.097002,0,98.551254
Steel 65G GOST 1050-88,0.644617,0.545633,0.00999,0.018296,0.210234,0,0.206915,0,98.364315
Steel 65G GOST 1050-88,0.597558,0.656116,0.022893,0.005004,0.20311,0,0.134142,0,98.381177
Steel 65G GOST 1050-88,0.647584,0.778062,0.006804,0.034659,0.319604,0,0.127754,0,98.085532
Steel 20Ch GOST 4543-71,0.2,0.284265,0.024835,0.011434,0.350547,0,0.179317,0,98.949602
Steel 20Ch GOST 4543-71,0.2,0.349163,0.009486,0.023407,0.287127,0,0.083839,0,99.046978
Steel 20Ch GOST 4543-71,0.2,0.102752,0.007129,0.008212,0.301367,0,0.348849,0,99.03169
Steel 40Ch GOST 4543-71,0.4,0.708862,0.003244,0.006799,0.320149,0,0.1,0,98.460945
Steel 40Ch GOST 4543-71,0.4,0.31879,0.021844,0.02173,0.184552,0,0.1,0,98.953084
Steel 40Ch GOST 4543-71,0.4,0.120372,0.01248,0.015501,0.261903,0,0.1,0,99.089744
Steel 40Ch GOST 4543-71,0.4,0.389125,0.004924,0.019519,0.357025,0,0.1,0,98.729408
Steel 45Ch GOST 4543-71,0.45,0.572082,0.014865,0.044358,0.294827,0,0.1,0,98.523869
Steel 45Ch GOST 4543-71,0.45,0.741514,0.008617,0.043093,0.282733,0,0.1,0,98.374043
Steel 45Ch GOST 4543-71,0.45,0.575908,0.029957,0.001584,0.304476,0,0.1,0,98.538075
Steel 50Ch GOST 4543-71,0.5,0.8,0.03497,0.038281,0.8,0,0,0,97.82675
Steel 50Ch GOST 4543-71,0.5,0.8,0.037483,0.014027,0.8,0,0,0,97.848491
Steel 10G2 GOST 4543-71,0.360901,1.206063,0.013779,0.006782,0.8,0,0,0,97.612475
Steel 35G2 GOST 4543-71,0.326228,1.847284,0.022936,0.017091,0.229313,0,0,0,97.557148
Steel 35G2 GOST 4543-71,0.33966,1.765423,0.027819,0.010714,0.253075,0,0,0,97.60331
Steel 40G2 GOST 4543-71,0.4,1.0296,0.034552,0.035862,0.364983,2.834845,0,0,95.300157
Steel 40G2 GOST 4543-71,0.4,1.081956,0.025937,0.023178,0.276011,1.996901,0,0,96.196017
Steel 45G2 GOST 4543-71,0.442062,0.73245,0.005124,0.036665,0.272158,2.755416,0,0,95.756126
Steel 45G2 GOST 4543-71,0.489652,0.864408,0.021476,0.003867,0.223956,2.692745,0,0,95.703897
Steel 33ChS GOST 4543-71,0.33,1.113502,0.001811,0.013742,0.216354,0.976002,1.143554,0,96.205036
Steel 33ChS GOST 4543-71,0.33,1.039601,0.019845,0.011256,0.214304,1.603212,1.185442,0,95.59634
Steel 38ChS GOST 4543-71,0.33,0.973265,0.029776,0.000978,0.374441,0.890481,1.230944,0,96.170116
Steel 30ChM GOST 4543-71,0.33,0.829341,0.006835,0.002232,0.152896,2.112226,1.066264,0,95.500205
Steel 35ChM GOST 4543-71,0.370791,0.993519,0.001642,0.002509,0.385667,0,0.891415,0,97.354456
Steel 35ChM GOST 4543-71,0.341053,0.797634,0.023557,0.007396,0.252843,0,1.018376,0,97.55914
Steel 18ChG GOST 4543-71,0.18,0.67951,0.029412,0.345893,0.234405,0,1,0,97.53078
Steel 18ChGT GOST 4543-71,0.18,0.567719,0.011965,0.223376,0.36767,0,1,0,97.649271
Steel 18ChGT GOST 4543-71,0.18,0.566265,0.037764,0.049928,0.259128,0,1,0,97.906914
Steel 30ChGT GOST 4543-71,0.274877,0.218254,0.017741,0.217,0.299184,0,1.105409,0,97.867535
Steel 30ChGT GOST 4543-71,0.294785,0.292192,0.03019,0.488231,0.335375,0,0.945074,0,97.614152
Steel 20ChGSA GOST 4543-71,0.173492,0.465759,0.022493,0.288107,0.345539,1.065799,0.896999,0,96.741812
Steel 20ChGNR GOST 4543-71,0.290025,0.606762,0.021309,0.248924,0.324339,0.926654,0.986146,0,96.595841
Steel 20ChGNR GOST 4543-71,0.205314,0.436265,0.021897,0.011168,0.368807,1.093885,0.900498,0,96.962167
Steel 40ChFA GOST 4543-71,0.383047,0.638988,0.02075,0.333945,0.257393,0.872438,0.848815,0,96.644626
Steel 40ChFA GOST 4543-71,0.369071,0.482612,0.001009,0.076809,0.304037,0.846979,0.886324,0,97.033158
Steel 40ChN GOST 4543-71,0.368162,0.603828,0.024703,0.01222,0.353819,1.015474,1.06043,0,96.561364
Steel 40ChN GOST 4543-71,0.376354,0.520117,0.007939,0.256143,0.171111,1.043731,0.912488,0,96.712117
Steel 12ChN2 GOST 4543-71,0.12,0.808799,0.017337,0.011051,0.96705,1.644407,0.949297,0,95.482059
Steel 12ChN2 GOST 4543-71,0.12,0.899342,0.014184,0.003497,1.029615,1.544694,0.978975,0,95.409694
Steel 12ChN3A GOST 4543-71,0.12,0.614895,0.012294,0.310393,1.041788,1.529188,1.064821,0,95.306621
Steel 12ChN3A GOST 4543-71,0.12,0.704246,0.025393,0.318299,1.037251,1.891763,1.18758,0,94.715467
Steel 20Ch2N4A GOST 4543-71,0.318675,0.693658,0.028118,0.028485,0.178344,0.855755,0.852122,0,97.044842
Steel 20Ch2N4A GOST 4543-71,0.209481,0.431406,0.004672,0.019994,0.191601,1.098502,1.098288,0,96.946055
Steel 20Ch2N4A GOST 4543-71,0.258087,0.698466,0.029448,0.222723,0.260785,0.898058,1.064151,0,96.568282
Steel 30ChGS GOST 4543-71,0.312874,0.327646,0.03529,0.320076,0.34121,0,1.103278,0,97.559625
Steel 30ChGSA GOST 4543-71,0.292531,0.283419,0.016625,0.18405,0.288293,0,1.082964,0,97.852118
Steel 30ChGSA GOST 4543-71,0.280027,0.365898,0.010183,0.333615,0.253806,0,1.17076,0,97.585711
Steel 38Ch210 GOST 4543-71,0.360881,0.542951,0.036053,0.39708,0.350597,1.022948,1.040648,0,96.248841
Steel 38ChA GOST 4543-71,0.412642,0.468491,0.026363,0.069977,0.185119,1.06038,0.85491,0,96.922118
Steel 20 GOST 1577-93,0.274408,0.654579,0.028448,0.339142,0.191633,0.989099,0.952244,0,96.570447
Steel 20 GOST 1577-93,0.340634,0.402357,0.007859,0.279772,0.262837,1.086035,0.86151,0,96.758996
Steel 20 GOST 1577-93,0.215149,0.589375,0.0353,0.344335,0.266731,0.9914,1.068445,0,96.489265
Steel 20 GOST 1577-93,0.194655,0.474933,0.019559,0.38355,0.261666,0.914733,0.921363,0,96.829541
Steel 25 GOST 1577-93,0.25,1.1,0.029375,0.201665,0.167385,0,1.041288,0,97.210288
Steel 25 GOST 1577-93,0.25,1.1,0.031951,0.323566,0.17622,0,0.871523,0,97.246739
Steel 25 GOST 1577-93,0.25,1.1,0.015554,0.230381,0.245637,0,1.011425,0,97.147003
Steel 25 GOST 1577-93,0.25,1.1,0.007826,0.31205,0.157706,0,0.813523,0,97.358895
Steel 25 GOST 1577-93,0.25,1.1,0.031951,0.323566,0.17622,0,0.871523,0,97.246739
Steel 30 GOST 1577-93,0.32721,0.359178,0.03048,0.116296,0.256297,0,1.118374,0,97.792165
Steel 30 GOST 1577-93,0.336555,0.288846,0.000344,0.436957,0.19906,0,0.999237,0,97.739001
Steel 30 GOST 1577-93,0.315009,0.345048,0.020062,0.3893,0.239148,0,0.972611,0,97.718821
Steel 30 GOST 1577-93,0.306304,0.356757,0.043831,0.253545,0.322963,0,1.093372,0,97.623227
Steel 30 GOST 1577-93,0.292848,0.368674,0.003111,0.19593,0.34465,0,0.904038,0,97.890748
Steel 30 GOST 1577-93,0.342989,0.203445,0.01971,0.143292,0.224389,0,1.19085,0,97.875324
Steel 35 GOST 1577-93,0.377905,0.420833,0.012651,0.099067,0.332436,0,1.001849,0,97.755259
Steel 35 GOST 1577-93,0.340136,0.607597,0.007801,0.382751,0.236242,0,0.944609,0,97.480863
Steel 35 GOST 1577-93,0.351427,0.651035,0.002388,0.010191,0.186793,0,0.950718,0,97.847447
Steel 35 GOST 1577-93,0.368634,0.618832,0.024563,0.218277,0.303959,0,0.937969,0,97.527766
Steel 35 GOST 1577-93,0.386828,0.611907,0.037797,0.301524,0.269788,0,1.040502,0,97.351654
Steel 35 GOST 1577-93,0.389229,0.744686,0.006783,0.293006,0.380543,0,1.096457,0,97.089297
Steel 40 GOST 1577-93,0.294719,0.462504,0.018462,0.112679,0.207257,0.818327,0.8961,0,97.189952
Steel 40 GOST 1577-93,0.206543,0.618388,0.036299,0.368871,0.369137,0.842443,0.830375,0,96.727945
Steel 40 GOST 1577-93,0.193416,0.466484,0.002899,0.251017,0.321784,1.064445,0.94744,0,96.752514
Steel 40 GOST 1577-93,0.243903,0.520979,0.001193,0.258209,0.359567,1.064946,0.843339,0,96.707864
Steel 40 GOST 1577-93,0.219202,0.407534,0.023024,0.096565,0.203795,0.812907,1.002556,0,97.234417
Steel 40 GOST 1577-93,0.349099,0.414345,0.03471,0.190565,0.298215,0.888758,1.072205,0,96.752103
Steel 45 GOST 1577-93,0.189831,0.600469,0.018601,0.031406,0.337733,0.993025,0.990744,0,96.83819
Steel 45 GOST 1577-93,0.170111,0.692905,0.000382,0.340268,0.197904,1.072206,1.066067,0,96.460157
Steel 45 GOST 1577-93,0.229611,0.633664,0.020943,0.306037,0.355651,1.025035,0.88886,0,96.540198
Steel 45 GOST 1577-93,0.337337,0.630081,0.005153,0.357209,0.368355,0.84151,0.912352,0,96.548002
Steel 45 GOST 1577-93,0.172537,0.550258,0.115926,0.074378,0.342496,0,1.063014,0,97.681392
Steel 45 GOST 1577-93,0.136651,0.543984,0.289504,0.105552,0.339471,0,0.942093,0,97.642745
Steel 50 GOST 1577-93,0.121302,0.514154,0.254858,0.022857,0.373355,0,0.910241,0,97.803233
Steel 50 GOST 1577-93,0.154969,0.559101,0.073191,0.156648,0.155907,0,0.921222,0,97.978962
Steel 50 GOST 1577-93,0.122233,0.589672,0.107917,0.13001,0.199255,0,1.075592,0,97.775322
Steel 50 GOST 1577-93,0.150093,0.4694,0.232985,0.364369,0.197762,0,0.816369,0,97.769023
Steel 50 GOST 1577-93,0.159728,0.509186,0.212145,0.067753,0.289816,0,0.880757,0,97.880615
Steel 50 GOST 1577-93,0.125553,0.48519,0.054293,0.313,0.341956,0,0.884183,0,97.795825
Steel 55 GOST 1577-93,0.12379,0.443244,0.199657,0.019489,0.271121,0,0.818186,0,98.124513
Steel 55 GOST 1577-93,0.177762,0.401831,0.100746,0.19888,0.320205,0,1.031332,0,97.769244
Steel 55 GOST 1577-93,0.3324,0.248336,0.003298,0.282444,0.232375,0,1.157168,0,97.743979
Steel 55 GOST 1577-93,0.292627,0.173664,0.036513,0.108992,0.189953,0,0.929391,0,98.26886
Steel 55 GOST 1577-93,0.33364,0.19934,0.043462,0.354308,0.336326,0,1.143866,0,97.589059
Steel 55 GOST 1577-93,0.34953,0.320716,0.020216,0.241485,0.29088,0,1.032014,0,97.74516
Steel 60 GOST 1577-93,0.292434,0.359891,0.044134,0.265898,0.210229,0,0.98412,0,97.843293
Steel 60 GOST 1577-93,0.278698,0.350335,0.012592,0.002016,0.317703,0,1.119089,0,97.919568
