Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,C,Mn,P,S,Si,Ni,Cr,Mo,Fe
Steel SAE 1040,annealed,519,353,30.0,149.0,207000,79000,0.3,7860,0.400175,0.657532,0.006709,0.04246,0.0,0.0,0.0,0.0,98.893124
Steel SAE 1040,tempered at 400 F,779,593,19.0,262.0,207000,79000,0.3,7860,0.433312,0.731918,0.022672,0.015168,0.0,0.0,0.0,0.0,98.79693
Steel SAE 1050,as-rolled,724,414,20.0,229.0,207000,79000,0.3,7860,0.489641,0.773034,0.037658,0.032042,0.0,0.0,0.0,0.0,98.667625
Steel SAE 1050,normalized,748,427,20.0,217.0,207000,79000,0.3,7860,0.4809,0.729633,0.023839,0.042379,0.0,0.0,0.0,0.0,98.72325
Steel SAE 1050,annealed,636,365,23.7,187.0,207000,79000,0.3,7860,0.487313,0.841987,0.017551,0.031002,0.0,0.0,0.0,0.0,98.622147
Steel SAE 1050,tempered at 600 F,979,724,14.0,321.0,207000,79000,0.3,7860,0.487947,0.819861,0.030058,0.026195,0.0,0.0,0.0,0.0,98.635939
Steel SAE 1060,as-rolled,814,483,17.0,241.0,207000,79000,0.3,7860,0.659803,0.784751,0.026873,0.029407,0.0,0.0,0.0,0.0,98.499167
Steel SAE 1060,normalized,776,421,18.0,229.0,207000,79000,0.3,7860,0.604024,0.68118,0.007335,0.047318,0.0,0.0,0.0,0.0,98.660143
Steel SAE 1060,annealed,626,372,22.5,179.0,207000,79000,0.3,7860,0.600816,0.834557,0.036783,0.024447,0.0,0.0,0.0,0.0,98.503398
Steel SAE 1060,tempered at 600 F,1103,779,13.0,321.0,207000,79000,0.3,7860,0.570236,0.873661,0.028906,0.003261,0.0,0.0,0.0,0.0,98.523938
Steel SAE 1080,as-rolled,965,586,12.0,293.0,207000,79000,0.3,7860,0.788511,0.774657,0.003335,0.034386,0.0,0.0,0.0,0.0,98.399111
Steel SAE 1080,normalized,1010,524,11.0,293.0,207000,79000,0.3,7860,0.837488,0.626919,0.027543,0.03728,0.0,0.0,0.0,0.0,98.47077
Steel SAE 1080,annealed,615,376,24.7,174.0,207000,79000,0.3,7860,0.813093,0.667936,0.025825,0.034718,0.0,0.0,0.0,0.0,98.458427
Steel SAE 1080,tempered at 600 F,1303,979,12.0,388.0,207000,79000,0.3,7860,0.842986,0.828121,0.02111,0.019775,0.0,0.0,0.0,0.0,98.288008
Steel SAE 1095,as-rolled,965,572,9.0,293.0,207000,79000,0.3,7860,1.00296,0.358213,0.00746,0.043936,0.0,0.0,0.0,0.0,98.587431
Steel SAE 1095,normalized,1014,500,9.5,293.0,207000,79000,0.3,7860,0.906168,0.32379,0.010643,0.046901,0.0,0.0,0.0,0.0,98.712498
Steel SAE 1095,annealed,657,379,13.0,192.0,207000,79000,0.3,7860,0.965066,0.448501,0.014764,0.011866,0.0,0.0,0.0,0.0,98.559803
Steel SAE 1095,tempered at 400 F,1289,827,10.0,401.0,207000,79000,0.3,7860,0.990017,0.346335,0.006998,0.00339,0.0,0.0,0.0,0.0,98.65326
Steel SAE 1117,as-rolled,487,305,33.0,143.0,207000,79000,0.3,7860,0.170548,1.138892,0.04,0.115059,0.0,0.0,0.0,0.0,98.535501
Steel SAE 1117,normalized,467,303,33.5,137.0,207000,79000,0.3,7860,0.196291,1.148411,0.04,0.119819,0.0,0.0,0.0,0.0,98.49548
Steel SAE 1117,annealed,429,279,32.8,121.0,207000,79000,0.3,7860,0.153254,1.255193,0.04,0.111707,0.0,0.0,0.0,0.0,98.439846
Steel SAE 1118,as-rolled,521,316,32.0,149.0,207000,79000,0.3,7860,0.1794,1.57947,0.0041,0.086997,0.0,0.0,0.0,0.0,98.150033
Steel SAE 1118,normalized,477,319,33.5,143.0,207000,79000,0.3,7860,0.198723,1.308076,0.035917,0.087986,0.0,0.0,0.0,0.0,98.369299
Steel SAE 1118,annealed,450,284,34.5,131.0,207000,79000,0.3,7860,0.17838,1.542697,0.009587,0.109538,0.0,0.0,0.0,0.0,98.159798
Steel SAE 1137,as-rolled,627,379,28.0,192.0,207000,79000,0.3,7860,0.360471,1.555581,0.016655,0.090844,0.0,0.0,0.0,0.0,97.97645
Steel SAE 1137,normalized,669,396,22.5,197.0,207000,79000,0.3,7860,0.360469,1.419035,0.006321,0.109616,0.0,0.0,0.0,0.0,98.104559
Steel SAE 1137,annealed,584,345,26.8,174.0,207000,79000,0.3,7860,0.365743,1.613171,0.009822,0.087725,0.0,0.0,0.0,0.0,97.923538
Steel SAE 1137,tempered at 400 F,1082,938,5.0,352.0,207000,79000,0.3,7860,0.3542,1.547139,0.037697,0.118572,0.0,0.0,0.0,0.0,97.942392
Steel SAE 1141,as-rolled,676,359,22.0,192.0,207000,79000,0.3,7860,0.375736,1.51878,0.04,0.11775,0.0,0.0,0.0,0.0,97.947734
Steel SAE 1141,normalized,707,405,22.7,201.0,207000,79000,0.3,7860,0.400416,1.448449,0.04,0.098759,0.0,0.0,0.0,0.0,98.012376
Steel SAE 1141,annealed,598,353,25.5,163.0,207000,79000,0.3,7860,0.443869,1.458509,0.04,0.092926,0.0,0.0,0.0,0.0,97.964696
Steel SAE 1141,tempered at 400 F,1634,1213,6.0,461.0,207000,79000,0.3,7860,0.418431,1.359449,0.04,0.119443,0.0,0.0,0.0,0.0,98.062677
Steel SAE 1144,as-rolled,703,421,21.0,212.0,207000,79000,0.3,7860,0.411853,1.370233,0.04,0.315101,0.0,0.0,0.0,0.0,97.862814
Steel SAE 1144,normalized,667,400,21.0,197.0,207000,79000,0.3,7860,0.450605,1.473122,0.04,0.255696,0.0,0.0,0.0,0.0,97.780577
Steel SAE 1144,annealed,584,346,24.8,167.0,207000,79000,0.3,7860,0.416549,1.392128,0.04,0.278838,0.0,0.0,0.0,0.0,97.872485
Steel SAE 1144,tempered at 400 F,876,627,17.0,277.0,207000,79000,0.3,7860,0.452628,1.499874,0.04,0.269213,0.0,0.0,0.0,0.0,97.738285
Steel SAE 1340,normalized,836,558,22.0,248.0,207000,79000,0.3,7860,0.424789,1.628308,0.003915,0.007604,0.19693,0.0,0.0,0.0,97.738454
Steel SAE 1340,annealed,703,436,25.5,207.0,207000,79000,0.3,7860,0.420073,1.830835,0.032076,0.009834,0.207115,0.0,0.0,0.0,97.500067
Steel SAE 1340,tempered at 400 F,1806,1593,11.0,505.0,207000,79000,0.3,7860,0.396626,1.600531,0.019883,0.026435,0.199533,0.0,0.0,0.0,97.756992
Steel SAE 3140,normalized,891,600,19.7,262.0,207000,79000,0.3,7860,0.421034,0.876092,0.04,0.009709,0.237302,1.195949,0.686117,0.0,96.533797
Steel SAE 3140,annealed,689,422,24.5,197.0,207000,79000,0.3,7860,0.385961,0.869089,0.04,0.001287,0.185548,1.25369,0.578887,0.0,96.685537
Steel SAE 4037,tempered at 400 F,1027,758,6.0,310.0,207000,79000,0.3,7860,0.372467,0.83983,0.035,0.04,0.339298,0.0,0.0,0.229702,98.143704
Steel SAE 4042,tempered at 400 F,1800,1662,12.0,516.0,207000,79000,0.3,7860,0.439492,0.747058,0.035,0.04,0.243697,0.0,0.0,0.223944,98.27081
Steel SAE 4130,normalized,669,436,25.5,197.0,207000,79000,0.3,7860,0.316898,0.4242,0.035,0.04,0.239374,0.0,0.911459,0.205046,97.828023
Steel SAE 4130,annealed,560,360,28.2,156.0,207000,79000,0.3,7860,0.321572,0.444687,0.035,0.04,0.235677,0.0,1.028176,0.171638,97.72325
Steel SAE 4130,tempered at 400 F,1627,1462,10.0,467.0,207000,79000,0.3,7860,0.310174,0.437717,0.035,0.04,0.190602,0.0,1.072807,0.232447,97.681254
Steel SAE 4140,normalized,1020,655,17.7,302.0,207000,79000,0.3,7860,0.429041,0.977081,0.017617,0.037155,0.175862,0.0,0.971476,0.240856,97.150911
Steel SAE 4140,annealed,655,417,25.7,197.0,207000,79000,0.3,7860,0.419417,0.8202,0.006674,0.013876,0.244142,0.0,1.03429,0.174892,97.286508
Steel SAE 4140,tempered at 400 F,1772,1641,8.0,510.0,207000,79000,0.3,7860,0.384145,0.851855,0.021907,0.018862,0.156659,0.0,0.805478,0.168872,97.592221
Steel SAE 4150,normalized,1155,734,11.7,321.0,207000,79000,0.3,7860,0.525389,0.886855,0.004725,0.039098,0.275487,0.0,0.976664,0.161771,97.130011
Steel SAE 4150,annealed,729,379,20.2,197.0,207000,79000,0.3,7860,0.491509,0.750774,0.012894,0.008359,0.188474,0.0,0.848551,0.234334,97.465105
Steel SAE 4150,tempered at 400 F,1931,1724,10.0,530.0,207000,79000,0.3,7860,0.497866,0.948931,0.029542,0.035219,0.204929,0.0,1.042124,0.15488,97.086508
Steel SAE 4320,normalized,793,464,20.8,235.0,207000,79000,0.3,7860,0.205328,0.576096,0.015503,0.011352,0.188381,1.77847,0.4548,0.262564,96.507506
Steel SAE 4320,annealed,579,425,29.0,163.0,207000,79000,0.3,7860,0.21287,0.537376,0.023418,0.026537,0.154307,1.826021,0.565767,0.219751,96.433955
Steel SAE 4340,normalized,1279,862,12.2,363.0,207000,79000,0.3,7860,0.407454,0.769258,0.035,0.04,0.234416,1.706669,0.838454,0.249281,95.719469
Steel SAE 4340,annealed,745,472,22.0,217.0,207000,79000,0.3,7860,0.411424,0.653662,0.035,0.04,0.194128,1.744324,0.894774,0.294845,95.731843
Steel SAE 4340,tempered at 400 F,1875,1675,10.0,520.0,207000,79000,0.3,7860,0.418123,0.662014,0.035,0.04,0.161211,1.664154,0.716722,0.244059,96.058716
Steel SAE 4620,normalized,574,366,29.0,174.0,207000,79000,0.3,7860,0.190555,0.596937,0.035,0.04,0.348439,1.715068,0.0,0.227755,96.846247
Steel SAE 4620,annealed,512,372,31.3,149.0,207000,79000,0.3,7860,0.196537,0.632234,0.035,0.04,0.219095,1.739202,0.0,0.296548,96.841384
Steel SAE 4820,normalized,755,484,24.0,229.0,207000,79000,0.3,7860,0.198764,0.51644,0.014181,0.015161,0.241013,3.593516,0.0,0.228854,95.192071
Steel SAE 4820,annealed,681,464,22.3,197.0,207000,79000,0.3,7860,0.180579,0.537127,0.026849,0.004372,0.256969,3.369235,0.0,0.245529,95.379339
Steel SAE 5046,tempered at 400 F,1744,1407,9.0,482.0,207000,79000,0.3,7860,0.476037,0.817886,0.028353,0.002899,0.28464,0.0,0.323008,0.0,98.067178
Steel SAE 5130,tempered at 400 F,1613,1517,10.0,475.0,207000,79000,0.3,7860,0.29552,0.834297,0.035,0.04,0.169395,0.0,0.806213,0.0,97.819575
Steel SAE 5140,normalized,793,472,22.7,229.0,207000,79000,0.3,7860,0.381889,0.836856,0.011014,0.0252,0.227883,0.0,0.819306,0.0,97.697852
Steel SAE 5140,annealed,572,293,28.6,167.0,207000,79000,0.3,7860,0.382509,0.709958,0.02936,0.035957,0.286244,0.0,0.708323,0.0,97.84765
Steel SAE 5140,tempered at 400 F,1793,1641,9.0,490.0,207000,79000,0.3,7860,0.39261,0.790487,0.007497,0.023008,0.270444,0.0,0.795388,0.0,97.720566
Steel SAE 5150,normalized,870,529,20.7,255.0,207000,79000,0.3,7860,0.52984,0.865641,0.022135,0.011261,0.211381,0.0,0.749713,0.0,97.61003
Steel SAE 5150,annealed,676,357,22.0,197.0,207000,79000,0.3,7860,0.520291,0.86932,0.024273,0.016865,0.150537,0.0,0.74212,0.0,97.676593
Steel SAE 5150,tempered at 400 F,1944,1731,5.0,525.0,207000,79000,0.3,7860,0.502352,0.73295,0.034722,0.000734,0.237018,0.0,0.718923,0.0,97.773302
Steel SAE 5160,normalized,957,531,17.5,269.0,207000,79000,0.3,7860,0.562778,0.843516,0.000822,0.02586,0.250356,0.0,0.850336,0.0,97.466332
Steel SAE 5160,annealed,722,276,17.2,197.0,207000,79000,0.3,7860,0.562953,0.915785,0.025008,0.031783,0.176069,0.0,0.749458,0.0,97.538944
Steel SAE 5160,tempered at 400 F,2220,1793,4.0,627.0,207000,79000,0.3,7860,0.562772,0.797744,0.003686,0.018568,0.160743,0.0,0.85671,0.0,97.599777
Steel SAE 6150,normalized,939,615,21.8,269.0,207000,79000,0.3,7860,0.521509,0.706636,0.00948,0.019436,0.281656,0.0,0.958129,0.269949,97.233205
Steel SAE 6150,annealed,667,412,23.0,197.0,207000,79000,0.3,7860,0.52818,0.820766,0.010676,0.01916,0.20543,0.0,1.080369,0.35678,96.978639
Steel SAE 6150,tempered at 400 F,1931,1689,8.0,538.0,207000,79000,0.3,7860,0.511248,0.727007,0.021745,0.032955,0.26022,0.0,0.843356,0.152103,97.451366
Steel SAE 8620,normalized,633,357,26.3,183.0,207000,79000,0.3,7860,0.180049,0.882198,0.014118,0.016641,0.211119,0.491152,0.412185,0.160341,97.632196
Steel SAE 8620,annealed,536,385,31.3,149.0,207000,79000,0.3,7860,0.208737,0.801651,0.022876,0.039872,0.209331,0.567918,0.426162,0.223517,97.499935
Steel SAE 8630,normalized,650,429,23.5,187.0,207000,79000,0.3,7860,0.301756,0.837276,0.016944,0.025742,0.177455,0.671658,0.58302,0.228437,97.157712
Steel SAE 8630,annealed,564,372,29.0,156.0,207000,79000,0.3,7860,0.305481,0.745755,0.010649,0.031714,0.299008,0.556908,0.573168,0.239019,97.238297
Steel SAE 8630,tempered at 400 F,1641,1503,9.0,465.0,207000,79000,0.3,7860,0.287162,0.862185,0.025863,0.034855,0.229473,0.41041,0.494106,0.211231,97.444715
Steel SAE 8640,tempered at 400 F,1862,1669,10.0,505.0,207000,79000,0.3,7860,0.400902,0.922902,0.00298,0.020635,0.203031,0.591629,0.501412,0.229179,97.127329
Steel SAE 8650,normalized,1024,688,14.0,302.0,207000,79000,0.3,7860,0.524977,0.933021,0.00228,0.014233,0.277406,0.589147,0.577438,0.233087,96.848412
Steel SAE 8650,annealed,715,386,22.5,212.0,207000,79000,0.3,7860,0.499918,0.988057,0.018612,0.011309,0.17431,0.699979,0.404777,0.163077,97.039962
Steel SAE 8650,tempered at 400 F,1937,1675,10.0,525.0,207000,79000,0.3,7860,0.504293,0.875329,0.013017,0.017012,0.182338,0.508669,0.419045,0.249156,97.23114
Steel SAE 8660,tempered at 800 F,1634,1551,13.0,460.0,207000,79000,0.3,7860,0.64374,0.972194,0.013818,0.038936,0.254523,0.607682,0.676918,0.136119,96.65607
Steel SAE 8740,normalized,929,607,16.0,269.0,207000,79000,0.3,7860,0.400723,0.963964,0.01277,0.04,0.315985,0.690148,0.523769,0.217273,96.835368
Steel SAE 8740,annealed,695,415,22.2,201.0,207000,79000,0.3,7860,0.388118,0.985872,0.01259,0.04,0.486148,0.490072,0.437032,0.257478,96.902691
Steel SAE 8740,tempered at 400 F,1999,1655,10.0,578.0,207000,79000,0.3,7860,0.402756,0.800916,0.026637,0.04,0.3687,0.409938,0.470699,0.20335,97.277004
Steel SAE 9255,normalized,933,579,19.7,269.0,207000,79000,0.3,7860,0.599373,0.87638,0.015409,0.015014,2.087917,0.0,0.0,0.0,96.405906
Steel SAE 9255,annealed,774,486,21.7,229.0,207000,79000,0.3,7860,0.565176,0.787088,0.028902,0.001368,2.073473,0.0,0.0,0.0,96.543993
Steel SAE 9255,tempered at 400 F,2103,2048,1.0,601.0,207000,79000,0.3,7860,0.561747,0.776331,0.033027,0.034406,2.104238,0.0,0.0,0.0,96.490252
Steel SAE 9260,tempered at 800 F,1758,1503,8.0,470.0,207000,79000,0.3,7860,0.63942,0.97945,0.018271,0.013385,2.145253,0.0,0.35,0.0,95.854221
Steel SAE 9310,normalized,907,571,18.8,269.0,207000,79000,0.3,7860,0.101014,0.677541,0.003432,0.006676,0.189739,3.389089,1.369739,0.090265,94.172506
Steel SAE 9310,annealed,820,440,17.3,241.0,207000,79000,0.3,7860,0.113871,0.493555,0.003114,0.00559,0.298196,3.040705,1.052878,0.08255,94.909541
Steel 08 GOST 1050-88,normalized,320,196,33.0,131.0,203000,78000,0.3,7871,0.43413,0.492291,0.034945,0.014095,0.636534,0.0,0.036728,0.0,98.351276
Steel 10 GOST 1050-88,normalized,330,205,31.0,143.0,206000,79000,0.3,7856,0.242206,0.372234,0.009371,0.00445,0.251641,0.0,0.138403,0.0,98.981694
Steel 10 GOST 1050-88,case-hardened,400,250,8.0,,206000,79000,0.3,7856,0.598109,0.613996,0.002154,0.022764,0.237858,0.0,0.06951,0.0,98.45561
Steel 10 GOST 1050-88,Cold working,410,250,8.0,187.0,206000,79000,0.3,7856,0.318752,0.477416,0.020733,0.035869,0.209495,0.0,0.020279,0.0,98.917456
Steel 10 GOST 1050-88,Annealing or high tempering,290,190,26.0,143.0,206000,79000,0.3,7856,0.454812,0.615745,0.008368,0.019592,0.258323,0.0,0.042492,0.0,98.600669
Steel 15 GOST 1050-88,normalized,370,225,27.0,149.0,201000,78000,0.29,7850,0.184995,0.434541,0.027297,0.025753,0.083034,0.0,0.077844,0.0,99.166536
Steel 15 GOST 1050-88,case-hardened,450,250,8.0,,201000,78000,0.29,7850,0.14653,0.511587,0.028635,0.045737,0.03543,0.0,0.044668,0.0,99.187413
Steel 15 GOST 1050-88,Cold working,440,340,8.0,197.0,201000,78000,0.29,7850,0.170401,0.381674,0.020104,0.012015,0.018449,0.0,0.017037,0.0,99.380319
Steel 15 GOST 1050-88,Annealing or high tempering,340,220,23.0,149.0,201000,78000,0.29,7850,0.144814,0.484483,0.000458,0.005863,0.150017,0.0,0.090132,0.0,99.124232
Steel 20 GOST 1050-88,normalized,410,245,25.0,163.0,212000,82000,0.29,7859,0.184114,0.643862,0.007274,0.022057,0.223834,0.0,0.129335,0.0,98.789524
Steel 20 GOST 1050-88,case-hardened,500,300,12.471666666666666,,212000,82000,0.29,7859,0.203424,0.59566,0.016583,0.001442,0.297716,0.0,0.1044,0.0,98.780775
Steel 20 GOST 1050-88,Cold working,490,300,7.0,207.0,212000,82000,0.29,7859,0.21807,0.578182,0.02825,0.020228,0.182563,0.0,0.197053,0.0,98.775654
Steel 20 GOST 1050-88,Annealing or high tempering,390,240,21.0,163.0,212000,82000,0.29,7859,0.233684,0.389368,0.004462,0.021099,0.213727,0.0,0.06884,0.0,99.068819
Steel 25 GOST 1050-88,normalized,450,275,23.0,170.0,198000,77000,0.29,7820,0.294246,0.604964,0.035794,0.034392,0.308326,0.0,0.002163,0.0,98.720116
Steel 25 GOST 1050-88,case-hardened,550,350,9.601333333333333,,198000,77000,0.29,7820,0.29513,0.768749,0.019574,0.01811,0.226486,0.0,0.071108,0.0,98.600843
Steel 25 GOST 1050-88,Cold working,540,350,7.0,217.0,198000,77000,0.29,7820,0.223697,0.513113,0.018904,0.014148,0.220536,0.0,0.196978,0.0,98.812625
Steel 25 GOST 1050-88,Annealing or high tempering,410,270,19.0,170.0,198000,77000,0.29,7820,0.221808,0.782829,0.024661,0.040637,0.317248,0.0,0.196145,0.0,98.41667
Steel 30 GOST 1050-88,normalized,490,295,21.0,179.0,200000,77000,0.3,7850,0.299514,0.636295,0.010231,0.017075,0.30774,0.0,0.224587,0.0,98.504557
Steel 30 GOST 1050-88,Improved,600,350,10.626666666666667,,200000,77000,0.3,7850,0.329797,0.729513,0.030554,0.025043,0.342336,0.0,0.127939,0.0,98.414818
Steel 30 GOST 1050-88,Cold working,560,340,7.0,229.0,200000,77000,0.3,7850,0.337772,0.767613,0.012162,0.022286,0.317427,0.0,0.20522,0.0,98.33752
Steel 30 GOST 1050-88,Annealing or high tempering,440,290,17.0,179.0,200000,77000,0.3,7850,0.286029,0.727713,0.011175,0.033313,0.295951,0.0,0.078264,0.0,98.567555
Steel 30 GOST 1050-88,Quenched and tempered,575,295,21.0,,200000,77000,0.3,7850,0.308249,0.767972,0.026685,0.004957,0.362693,0.0,0.020471,0.0,98.508973
Steel 35 GOST 1050-88,normalized,530,315,20.0,207.0,206000,79000,0.3,7826,0.345408,0.696128,0.002697,0.04772,0.18461,0.238972,0.096494,0.0,98.387972
Steel 35 GOST 1050-88,Improved,650,380,19.0,,206000,79000,0.3,7826,0.341775,0.783762,0.019037,0.013015,0.194228,0.190243,0.136821,0.0,98.32112
Steel 35 GOST 1050-88,Quenching and cooling in the water,1000,650,11.138666666666666,,206000,79000,0.3,7826,0.355592,0.642728,0.037345,0.036988,0.327321,0.147378,0.179987,0.0,98.272661
Steel 35 GOST 1050-88,Cold working,590,350,6.0,229.0,206000,79000,0.3,7826,0.323011,0.522252,0.017547,0.049906,0.312721,0.06129,0.216431,0.0,98.496842
Steel 35 GOST 1050-88,Annealing or high tempering,470,310,15.0,187.0,206000,79000,0.3,7826,0.339034,0.503054,0.005272,0.038302,0.322655,0.152676,0.00425,0.0,98.634758
Steel 35 GOST 1050-88,Quenched and tempered,625,315,20.0,,206000,79000,0.3,7826,0.331966,0.51047,0.002432,0.010286,0.245942,0.204454,0.158573,0.0,98.535877
Steel 40 GOST 1050-88,normalized,570,335,19.0,217.0,212000,82000,0.29,7850,0.42538,0.733476,0.037247,0.047861,0.347857,0.0,0.063811,0.0,98.344368
Steel 40 GOST 1050-88,Improved,700,400,14.117,,212000,82000,0.29,7850,0.433064,0.512355,0.026107,0.004069,0.358443,0.0,0.093922,0.0,98.57204
Steel 40 GOST 1050-88,Quenching and cooling in the water,1000,650,14.227666666666634,,212000,82000,0.29,7850,0.383284,0.731099,0.008906,0.016117,0.345973,0.0,0.016896,0.0,98.497726
Steel 40 GOST 1050-88,Cold working,610,380,6.0,241.0,212000,82000,0.29,7850,0.445127,0.611002,0.038512,0.034408,0.272688,0.0,0.149676,0.0,98.448588
Steel 40 GOST 1050-88,Annealing or high tempering,510,330,14.0,197.0,212000,82000,0.29,7850,0.407251,0.545297,0.03291,0.00286,0.287481,0.0,0.025635,0.0,98.698565
Steel 40 GOST 1050-88,Quenched and tempered,675,355,19.0,,212000,82000,0.29,7850,0.404671,0.70139,0.025051,0.014582,0.294373,0.0,0.104692,0.0,98.45524
Steel 45 GOST 1050-88,normalized,600,355,16.0,220.0,200000,77000,0.3,7810,0.425395,0.655834,0.000106,0.004694,0.191271,0.0,0.051889,0.0,98.67081
Steel 45 GOST 1050-88,Improved,750,450,16.0,,200000,77000,0.3,7810,0.437607,0.736389,0.029931,0.015967,0.211514,0.0,0.227912,0.0,98.34068
Steel 45 GOST 1050-88,Quenching and cooling in the oil,900,650,11.283333333333333,,200000,77000,0.3,7810,0.438162,0.646667,0.035388,0.041277,0.335812,0.0,0.162805,0.0,98.339889
Steel 45 GOST 1050-88,Quenching and cooling in the water,1000,700,10.852222222222222,,200000,77000,0.3,7810,0.467213,0.539483,0.005511,0.000814,0.20609,0.0,0.217803,0.0,98.563086
Steel 45 GOST 1050-88,Quenching and cooling in the water,1200,950,7.02407142857143,,200000,77000,0.3,7810,0.472599,0.547388,0.001053,0.014612,0.26691,0.0,0.109411,0.0,98.588028
Steel 45 GOST 1050-88,Quenching and heating,750,450,14.22,,200000,77000,0.3,7810,0.452959,0.728133,0.019345,0.016877,0.349517,0.0,0.022303,0.0,98.410865
Steel 45 GOST 1050-88,Cold working,640,440,6.0,241.0,200000,77000,0.3,7810,0.473323,0.797237,0.005587,0.004184,0.287906,0.0,0.122972,0.0,98.308793
Steel 45 GOST 1050-88,Annealing or high tempering,540,350,13.0,207.0,200000,77000,0.3,7810,0.474676,0.707065,0.034958,0.035301,0.354129,0.0,0.020301,0.0,98.37357
Steel 45 GOST 1050-88,Quenched and tempered,705,375,17.0,,200000,77000,0.3,7810,0.431468,0.582975,0.035687,0.015173,0.30609,0.0,0.127122,0.0,98.501484
Steel 50 GOST 1050-88,normalized,600,355,14.0,241.0,216000,83000,0.3,7810,0.492376,0.574642,0.035021,0.008869,0.24203,0.0,0.171581,0.0,98.475481
Steel 50 GOST 1050-88,Improved,900,700,15.0,,216000,83000,0.3,7810,0.506881,0.679108,0.024354,0.044064,0.363757,0.0,0.022769,0.0,98.359066
Steel 50 GOST 1050-88,Cold working,660,450,6.0,255.0,216000,83000,0.3,7810,0.523343,0.515563,0.004579,0.002295,0.174708,0.0,0.214447,0.0,98.565065
Steel 50 GOST 1050-88,Annealing or high tempering,560,370,12.0,217.0,216000,83000,0.3,7810,0.482273,0.603813,0.007342,0.016172,0.248896,0.0,0.176336,0.0,98.465167
Steel 50 GOST 1050-88,Quenched and tempered,725,400,16.0,,216000,83000,0.3,7810,0.517852,0.796063,0.035949,0.021257,0.30586,0.0,0.078433,0.0,98.244586
Steel 55 GOST 1050-88,normalized,630,375,13.0,255.0,210000,81000,0.3,7820,0.593097,0.528785,0.013122,0.003936,0.365558,0.0,0.083589,0.0,98.411913
Steel 55 GOST 1050-88,Quenched and tempered,775,420,15.0,,210000,81000,0.3,7820,0.569709,0.685035,0.018631,0.026528,0.329454,0.0,0.038208,0.0,98.332435
Steel 60 GOST 1050-88,normalized,680,400,12.0,255.0,204000,79000,0.29,7810,0.632808,0.645709,0.014551,0.048374,0.242733,0.0,0.066363,0.0,98.349461
Steel 60 GOST 1050-88,Quenched and tempered,825,450,14.0,,204000,79000,0.29,7810,0.570052,0.644863,0.000795,0.013194,0.283681,0.0,0.196203,0.0,98.291212
Steel 20G GOST 1050-88,normalized,460,280,17.626666666666665,,204000,79000,0.29,7820,0.21084,0.491856,0.020964,0.001183,0.201225,0.0,0.007784,0.0,99.066148
